experiment,gene.set,pathway,contrast,fgsea.FDR,fgsea.NES,fgsea.leadingEdge,gage.FDR
P259_2,H,INTERFERON_ALPHA_RESPONSE,none_HRVnone_none,0.02413127413127413,2.9867671144042527,CXCL11;OASL;IFIT2;IFI27;RSAD2;USP18;LGALS3BP;IFIT3;CXCL10;HERC6;TMEM140;CMPK2;GMPR;PROCR;GBP2;DHX58;BATF2;OAS1;GBP4;HELZ2;SAMD9L;DDX60;IFI44;TDRD7;PARP9;EPSTI1;IFIH1;IFI44L;RTP4;SAMD9;IFITM3;IFI35;ISG20;LY6E;PARP14;TAP1;IFITM1;MX1;PARP12;ISG15;WARS1;IL7;TRIM25;STAT2;CSF1;TRIM21;CNP;PNPT1;NMI;NUB1;UBA7;SELL;CCRL2;IL15;SP110;IRF7;ADAR;IRF1;IRF9;PLSCR1;UBE2L6;TRIM5;MOV10;SLC25A28;EIF2AK2,8.187868567525341e-17
P259_2,H,INTERFERON_GAMMA_RESPONSE,AntiIL5_nonenone_none,0.01555104800540906,1.453168390109742,CXCL10;CXCL11;CXCL9;CCL7;CFH;SECTM1;CD274;KLRK1;SELP;METTL7B;IFIT1;CFB;MX2;VCAM1;IL6;HELZ2;RSAD2;OASL;C1R;IL15;IFIT3;SSPN;UPP1;LATS2;IFIT2;ISG20;GCH1;TNFAIP6;ISG15;CD74;USP18;C1S;MX1;CMPK2;CASP1;PDE4B;B2M;IFITM3;OAS2;BATF2;ARL4A;XAF1;DDX58;IDO1;HLA-DRB1;IFI35;EPSTI1;HLA-DQA1;IL7;SAMD9L;OAS3;IRF8;GZMA;GBP4;MT2A;PARP12;APOL6;STAT1;STAT2;PNPT1;IFI44L;PELI1;DDX60;HLA-B;IRF7;HLA-A;VAMP5;NLRC5;RBCK1;UBE2L6;FPR1;CD86;PLSCR1;TRIM25;HERC6;BST2;CD38;LY6E;CD69;DHX58;IFIH1;HLA-G;PSME1;RNF213;PML;VAMP8;CCL2;CASP7;EIF2AK2;TAP1;NFKBIA;HLA-DMA;PTGS2;PSMB9;RIPK2;PARP14;CASP3;IFI27;MVP;CDKN1A;LGALS3BP;PSME2;ST8SIA4;NFKB1;STAT4;MYD88;ZNFX1;PSMA3,0.04921678513536553
P259_2,H,INTERFERON_GAMMA_RESPONSE,EOSsupp_HRVEOSsupp_none,0.0257201646090535,3.029488564247792,CXCL11;BATF2;IFIT2;OASL;RSAD2;CXCL10;CD38;IFIT3;SECTM1;IFIT1;TNFAIP6;LGALS3BP;HELZ2;IFI27;DDX58;HERC6;USP18;ZBP1;DHX58;RTP4;GBP4;TDRD7;GCH1;IL15RA;CMPK2;OAS2;CD274;MX2;TOR1B;SERPING1;DDX60;OAS3;IFIH1;IFI44L;TNFSF10;PARP12;CXCL9;SAMD9L;PDE4B;STAT4;XAF1;NLRC5;IFI44;ZNFX1;IFITM3;PML;RNF213;ISG20;LY6E;MX1;EPSTI1;TAP1;PARP14;ISG15;CASP7;APOL6;ST3GAL5;IFI35;NAMPT;STAT2;C1R;FPR1;TRIM25;IRF1;TRIM21;VAMP5;CASP1;IL7;CCL5;PFKP;WARS1;CFB;SP110;STAT1;EIF2AK2;NOD1;PNPT1;ADAR;TRAFD1;EIF4E3;PLSCR1;NMI;UBE2L6;IRF7;IRF9;CFH;RBCK1;RIPK2;ST8SIA4;CMTR1;LAP3;CASP3;MYD88;SOCS3;RIPK1;NCOA3;SOCS1;MT2A;SLC25A28;IRF4;TRIM14;TRIM26;STAT3;HLA-G;FGL2;IL6;IFITM2;PSMB9,1.843700649680456e-20
P259_2,H,INTERFERON_GAMMA_RESPONSE,EOSsupp_nonenone_none,0.03949447077409163,-1.6238280418293298,TNFAIP6;C1R;SELP;C1S;ZBP1;IFIT2;HELZ2;CXCL10;RTP4;IL2RB;BATF2;IFIT3;DDX58;GBP4;RSAD2;OASL;SERPING1;CXCL11;IFIT1;DHX58;SECTM1;TDRD7;GCH1;HERC6;PARP12;MT2A;IRF1;TNFSF10;CASP1;MX2;ISG15;RIPK2;APOL6;CXCL9;IL6;IFI44L;IFITM3;TOR1B;XCL1;CCL7;IFIH1;ISG20;IFITM2;TRAFD1;ST3GAL5;CMPK2;LGALS3BP;OAS2;SOD2;SP110;SOCS1;IFI27;PDE4B;NAMPT;LY6E;VAMP5;LAP3;STAT1;ZNFX1;UBE2L6;CD74;EIF2AK2;MX1;CD86;PLSCR1;PSMA2;B2M;STAT2;METTL7B;HLA-A;CFB;PSMB9;NMI;CASP4;PARP14;HLA-DRB1;HLA-B;ST8SIA4;PSME2;HLA-DQA1;BTG1,0.00859888903710641
P259_2,H,INTERFERON_GAMMA_RESPONSE,none_HRVnone_none,0.02421307506053269,2.806519039068237,CXCL10;CXCL11;CD274;CXCL9;IFIT1;RSAD2;OASL;SECTM1;IFIT3;DDX58;IFIT2;CD38;USP18;MX2;HELZ2;CMPK2;GBP4;GCH1;DHX58;OAS3;OAS2;SAMD9L;HERC6;DDX60;XAF1;CFH;IFI44L;TDRD7;IL15;RTP4;NLRC5;IFI27;PDE4B;TNFSF10;IL7;MX1;EPSTI1;LGALS3BP;CASP7;ISG20;PML;IFI44;IFIH1;RNF213;MT2A;APOL6;IFI35;PARP12;IFITM3;IL6;TRIM25;LY6E;TOR1B;IL15RA;ISG15;BATF2;CASP1;ZNFX1;SERPING1;STAT2;PLSCR1;EIF2AK2;UBE2L6;PARP14;PNPT1;ZBP1;NMI;SP110;TRIM21;STAT1;TAP1;WARS1;ST3GAL5;CCL7;IRF7;PELI1;SLC25A28;RBCK1;ADAR;ST8SIA4;NAMPT;IRF4;ARL4A;PFKP;CASP3;LAP3;MYD88;CASP4;KLRK1;GZMA;SOCS3;CD69;CMTR1;VAMP5;RIPK2;TNFAIP6;PSMB9;IFITM2;CCL5;TRAFD1;BST2;TRIM14;TRIM26;IRF1;NFKBIA;BTG1;NFKB1,7.875613501729126e-16
P259_2,H,INTERFERON_GAMMA_RESPONSE,none_HRVnone_none,0.02413127413127413,2.8440676805121456,CXCL11;CD38;OASL;IFIT2;IFI27;RSAD2;USP18;IL15RA;SECTM1;LGALS3BP;IFIT1;IFIT3;CXCL10;GZMA;CCL5;CD274;HERC6;GCH1;CMPK2;STAT4;DDX58;IL6;DHX58;XAF1;OAS2;ZBP1;PTGS2;BATF2;MX2;CASP7;GBP4;HELZ2;NLRC5;SAMD9L;EIF4E3;OAS3;TOR1B;DDX60;PDE4B;TNFSF10;IFI44;TDRD7;RNF213;EPSTI1;IFIH1;IFI44L;PML;RTP4;IFITM3;IFI35;ZNFX1;ISG20;LY6E;PARP14;CXCL9;TAP1;SERPING1;VAMP5;MX1;NAMPT;PARP12;ISG15;WARS1;APOL6;IL7;TRIM25;STAT2;PFKP;ST3GAL5;TRIM21;CFH;CFB;PNPT1;NMI;IRF4;IL15;SP110;IRF7;MT2A;ADAR;CASP3;RBCK1;IRF1;IRF9;STAT1;PLSCR1;UBE2L6;STAT3;SLC25A28;MYD88;ST8SIA4;EIF2AK2;SOCS3;SOCS1;RIPK1;HLA-G;TRAFD1;LAP3;CD69;PSMB9;PELI1;IRF8;NCOA3;RNF31;NFKB1;TRIM14;FAS;NOD1;METTL7B;PSMB10;IFITM2;C1R;SLAMF7;CASP4,5.24101976261922e-18
P259_2,H,KRAS_SIGNALING_DN,AntiIL5_HRVAntiIL5_none,0.07836990595611285,-1.4917455221086862,GAMT;RYR2;LYPD3;TG;CLSTN3;RIBC2;ITIH3;SERPINB2;OXT;SLC25A23;IL5;MACROH2A2;C5;NRIP2;NUDT11;HSD11B2;FGGY;MYOT;COPZ2;SELENOP;GPR3;IDUA;NR4A2;KRT1;IGFBP2;THNSL2;ARPP21;RGS11;FGFR3;IFNG;SLC16A7;ARHGDIG;NR6A1;MAGIX;TENM2;TAS2R4;CAMK1D;THRB;RYR1;MEFV;PLAG1;DTNB,0.28410639152100453
P259_2,H,KRAS_SIGNALING_DN,AntiIL5_nonenone_none,0.01555104800540906,1.5133158086871157,NR6A1;CCNA1;TGM1;CD40LG;RYR2;MSH5;THNSL2;ITIH3;HSD11B2;MYOT;RIBC2;KRT1;IFNG;NUDT11;RYR1;MEFV;MYH7;FGFR3;FGGY;CACNA1F;BMPR1B;EGF;ATP4A;CHRNG;MYO15A;RGS11;ARPP21;TEX15;ZC2HC1C;RSAD2;GPR3;IGFBP2;GAMT;OXT;MACROH2A2;COPZ2;NRIP2;ZBTB16;MX1,0.05564869276398469
P259_2,H,KRAS_SIGNALING_UP,AntiIL5_nonenone_none,0.08551408551408551,1.3163410617694788,CXCL10;EPB41L3;ETV4;CFH;F2RL1;HSD11B1;PRKG2;RETN;ETV5;SPON1;IGFBP3;TNNT2;SEMA3B;ABCB1;ITGA2;GFPT2;CFB;ALDH1A3;MAP7;BMP2;ANXA10;PLEK2;TSPAN1;BTC;EPHB2;RELN;KIF5C;PRRX1;CCL20;MYCN;TLR8;MMP11;PPBP;CSF2;H2BC3;KLF4;PRDM1;DCBLD2;PLAT;ACE;SDCCAG8;EMP1;ALDH1A2;SATB1;IRF8;TSPAN13;CLEC4A,0.2076244078199247
P259_2,H,MYOGENESIS,AntiIL5_HRVAntiIL5_none,0.0513874614594039,-1.5584277558758,COL6A3;TNNT2;PKIA;MYBPH;MYBPC3;MAPRE3;COL1A1;TNNI2;ADAM12;TCAP;COL6A2;SLC6A8;GPX3;FABP3;PPFIA4;MB;TPM2;ATP2A1;IGFBP7;HBEGF;KIFC3;COL15A1;DENND2B;MRAS;SCHIP1;MAPK12;MYLPF;PC;AGRN;ABLIM1;EPHB3;SGCA;ERBB3;TPD52L1;TEAD4;SGCD;NAV2;PDLIM7;CKMT2;BIN1;KLF5;EFS;DMPK;GSN;RYR1;MYH3;LAMA2;ITGA7;AK1;APOD;OCEL1;PYGM;VIPR1;REEP1;LARGE1;GAA;SVIL;NOS1;CASQ1;SPEG,0.0889505864016831
P259_2,H,MYOGENESIS,AntiIL5_nonenone_none,0.08441775108441775,1.3396424943039509,COL6A3;MAPK12;MRAS;PYGM;FABP3;IGFBP3;TNNT2;PKIA;CHRNA1;SLC6A8;ITGA7;SCHIP1;COL15A1;MB;ADAM12;LAMA2;MYBPC3;RYR1;EPHB3;MYH11;TNNI1;MYH7;FST;NAV2;TCAP;DENND2B;ADCY9;MYL4;CHRNG;SPEG;SGCD;TEAD4;TNNT3;IGFBP7;ATP2A1;ITGB5;MAPRE3;SSPN;MYH3;AK1;PSEN2;WWTR1;LARGE1;GADD45B;DMPK;CKMT2;GNAO1;CKB;PC;GPX3;OCEL1;FKBP1B;NOS1;TPD52L1;VIPR1;APOD;ITGB4;SYNGR2,0.2076244078199247
